Precision,Recall,F-Score,MAP,nDCG
0.7066666666666667,0.12335679279737131,0.20162203310266433,0.12335679279737131,0.5520000000000004
0.5666666666666667,0.1901175228568844,0.26799131114434815,0.18366365881968705,0.528141353274817
0.5007407407407406,0.242526902366264,0.3045019484222355,0.22554145263081432,0.5290476108889406
0.45555555555555555,0.28942809253412105,0.328838189596226,0.25731816604086105,0.5318619028783045
0.40800000000000036,0.31918071522007707,0.33187566673117913,0.27479638091240927,0.5346640423432651
0.3748148148148147,0.34585383659198127,0.33306053445294376,0.2894491356923334,0.5415208166432897
0.3479365079365083,0.3688709393274747,0.331281441265199,0.3026885890565815,0.5448684715603578
0.32222222222222224,0.3830929372900512,0.3236276139166275,0.30928492104005273,0.5491136760435624
0.30419753086419793,0.40616141383892,0.3218669896008899,0.3181274426352977,0.5519569393604437
0.2848888888888891,0.41783406094490033,0.31360987582365907,0.3233754577066459,0.5535167434403655
