Precision,Recall,F-Score,MAP,nDCG
0.6977777777777778,0.11681734231932438,0.19231115787538042,0.11681734231932438,0.514666666666667
0.6022222222222222,0.1998797134889409,0.2819069839998214,0.19107540051796132,0.5215611298345849
0.5303703703703704,0.2531379429988947,0.318790498760703,0.23592654328749496,0.5178476369411183
0.47333333333333333,0.2921522991354388,0.33417161701724274,0.26387046854104346,0.5256104953124575
0.4302222222222224,0.32558440796228444,0.3423503644123468,0.28333015440423814,0.5273459229521064
0.3896296296296299,0.3483434372534299,0.3388066313455894,0.295457706719868,0.530994637718727
0.3631746031746034,0.37341633604471947,0.33930615005355125,0.30822646535890574,0.5360777656498685
0.3438888888888889,0.40113210612593914,0.3417185238301408,0.3211839438012557,0.5396955342378522
0.3269135802469141,0.42186711575568575,0.3402976450607532,0.3307747621230681,0.5430311105978882
0.3088888888888889,0.44055141910665574,0.33575705612700674,0.3379301413117805,0.5449389602398608
