Precision,Recall,F-Score,MAP,nDCG
0.7066666666666667,0.12120304665330456,0.1986292312326695,0.12120304665330456,0.5069629629629634
0.5977777777777777,0.19765757940135728,0.27925944541986175,0.18769146090937672,0.5270903008455792
0.525925925925926,0.2545110438869381,0.31967627434027684,0.23159652871363323,0.5284052555340387
0.47,0.29570877579717864,0.33616873089781335,0.2598293631725156,0.5316031302390337
0.4275555555555558,0.32795695999182384,0.3427961755900464,0.278047204489631,0.538494094739979
0.3985185185185183,0.359455281703273,0.34885653163988667,0.2976298224516096,0.5442156369563127
0.3720634920634925,0.3878089381183327,0.35044386383958076,0.31183806617113163,0.5486425819074975
0.3511111111111111,0.4103915512330622,0.3495542565469096,0.3230276980355859,0.550626502539177
0.32543209876543244,0.4246685273433717,0.3406930264958743,0.3301334468820755,0.5521219477468992
0.30711111111111133,0.4410817172886781,0.3352588677701391,0.3374497437747753,0.5547711984271411
