Precision,Recall,F-Score,MAP,nDCG
0.6355555555555555,0.11169376446767636,0.182174204777643,0.11169376446767636,0.4791111111111115
0.5311111111111111,0.18103038521802264,0.2535998097275463,0.17271253948351029,0.483507347545057
0.4785185185185186,0.2347809655144448,0.29267807585326483,0.214769785320337,0.4903462570507623
0.4255555555555556,0.26778829238195806,0.30407866365442104,0.23741140782639755,0.4969463787182402
0.3822222222222224,0.2945087918305279,0.3073078020746348,0.2529477273872785,0.5025731965791084
0.3511111111111113,0.31805861266014296,0.308093904196901,0.2653006014164482,0.5095320898935255
0.3276190476190479,0.34503377511569755,0.3105101943006942,0.27880188071604683,0.5126931209640032
0.305,0.3632519273338497,0.3069460624675217,0.2877453924512254,0.5157590996982739
0.29086419753086445,0.38177772434003904,0.3058334066865566,0.2958247181122503,0.5191134375148416
0.2786666666666669,0.4065423103712918,0.3059664289762541,0.30395965922052476,0.5211852229169569
