Precision,Recall,F-Score,MAP,nDCG
0.6888888888888889,0.11646917813782685,0.1913761263128979,0.11646917813782685,0.4945185185185189
0.5688888888888889,0.18917712641122486,0.2662277244526569,0.18068718733795247,0.5041791947510401
0.5200000000000002,0.2488238144984917,0.3127107558914864,0.22750452180415603,0.5069447022947771
0.4533333333333333,0.2798423829307855,0.32006001932883343,0.25002815262141415,0.5115874715310524
0.41600000000000015,0.31500239738027386,0.33101494974483714,0.270450524271856,0.5176828581389601
0.3814814814814814,0.3430655379434142,0.33322740919485333,0.28421712187178694,0.5213832197946401
0.3631746031746037,0.3756467982848611,0.3407417071996751,0.2997447973338547,0.5263208981914971
0.3372222222222222,0.39346289634801807,0.33556451790682984,0.30927958389805305,0.5283500332530895
0.31901234567901265,0.41662968454692245,0.3344096678993294,0.31885192804597373,0.5312584223388314
0.30044444444444446,0.4299865647888601,0.3276400623136366,0.3246618233869035,0.5331878435475218
