Precision,Recall,F-Score,MAP,nDCG
0.7688888888888888,0.13163120357178207,0.2160260114581391,0.13163120357178207,0.5840000000000002
0.6377777777777778,0.2122307086314737,0.30036009825169746,0.20666404998148175,0.5860111443999603
0.5629629629629631,0.27661287281242103,0.3461625395370686,0.2568178781072956,0.574494661315545
0.4922222222222222,0.31214020482481053,0.35440316593041993,0.28205211586825746,0.572057820811145
0.44888888888888906,0.3438969710567059,0.36045735636563486,0.3028946599625456,0.575268000497522
0.4125925925925927,0.3753885905483253,0.36375358037245953,0.3206005148072892,0.5780790163036916
0.381587301587302,0.40211190455143375,0.36198629090802287,0.33383708916351634,0.5806731059310345
0.355,0.422534171101151,0.3571786750333175,0.34456854294031325,0.5825054694455059
0.3323456790123459,0.4405246145719866,0.3510988209869432,0.35285894216426367,0.5852802236143109
0.3102222222222221,0.45232244333526483,0.34121628790433856,0.3584947166732294,0.58789313069459
