Precision,Recall,F-Score,MAP,nDCG
0.7733333333333333,0.1323719443125228,0.21729585272798035,0.1323719443125228,0.5905185185185186
0.6355555555555555,0.21141060281136792,0.29906120832535654,0.20621431453174632,0.5861234494126147
0.5674074074074075,0.27713932783887607,0.34745692324837707,0.2577552678780187,0.5758877920915899
0.4955555555555556,0.314148141332747,0.3568341423613963,0.28387310352257844,0.5750695144201875
0.45155555555555577,0.34817320327153456,0.36382963424255677,0.3056243883887653,0.5766064032520132
0.4111111111111111,0.374910025903094,0.3629728718022773,0.3209427304322535,0.5798524729280017
0.37904761904761947,0.3980120617653164,0.35884899818125643,0.33351155620756656,0.5833240985152657
0.3527777777777778,0.4205615079618213,0.3551206596377062,0.3449044589656654,0.5854774196693038
0.3313580246913584,0.43836293239069674,0.3495986015259395,0.3532505269217552,0.5883053144628886
0.31066666666666665,0.45482031089979924,0.34222485633395966,0.3604910416433043,0.590831512545019
