Precision,Recall,F-Score,MAP,nDCG
0.7555555555555555,0.13006906019591322,0.21296616536836524,0.13006906019591322,0.5715555555555557
0.6488888888888888,0.2128204645545629,0.3015802731385391,0.20618605792996014,0.569686411672009
0.5585185185185187,0.2687668774860335,0.33788292564170624,0.25395167840286054,0.5618412764601164
0.48777777777777775,0.30609400229821576,0.3490530902521708,0.28117543929501215,0.5577904039265732
0.4444444444444446,0.3428258995719088,0.3587156384400877,0.30303721674853384,0.5605657389334064
0.40814814814814826,0.37593377888825036,0.36203815952478785,0.32021033387271725,0.5643257377636398
0.3815873015873019,0.4009806899292791,0.36141130490703705,0.3339999547093969,0.5718471063343382
0.3527777777777778,0.4182107376593267,0.3539181904527065,0.3438716948519705,0.5740830480346955
0.3318518518518519,0.43727206580104716,0.34927781419714116,0.35216955349296625,0.5773393148655359
0.3115555555555555,0.4501347317251165,0.34132201200078705,0.358327870581985,0.578739891917414
